馬名,時計スコア(1-5),状態スコア(1-5),メモ
サルヴァトーレ,,,
ベラトール,,,
コルデアニル,,,
ワキノノーブル,,,
モナコブル,,,
ボールドハーテッド,,,
ブラックシールド,,,
ナスノソナタ,,,
アウスヴァール,,,
コスモアミマネラ,,,
シャトーホークビル,,,
タガノバルコス,,,
フェスティヴビーム,,,
ライラスター,,,
