馬名,時計スコア(1-5),状態スコア(1-5),メモ
ドンレパルス,5,5,太めも力強い
オレデイイノカ,3,4,ひと追い毎に良化
グレイテストソング,2,4,動き軽快
ゴールドハンマー,4,5,火曜追いで仕上る
モーニングマジック,5,5,力強い脚捌き
セミマル,5,2,多少上向く
エイプリルインパリ,5,5,好気配保つ
ピエマンソン,5,1,さほど良化なく
メリディアンスター,5,5,好調持続
クインズデネブ,2,5,１ハロンの伸び目立つ
オペラプラージュ,5,1,馬体は仕上がるも
スナッピードレッサ,5,5,気合乗り上々
シャパリュ,3,5,ひと叩き良化示す
ワンダラー,5,5,実戦で変わる馬
メイショウツヨキ,4,5,仕上がり良好
シュヴァルボヌール,3,4,力強い脚捌き
