馬名,時計スコア(1-5),状態スコア(1-5),メモ
ユーウェイン,3,5,使い詰めで平凡
ピースサイン,5,5,ひと追い毎に良化
タキノボリ,3,4,元気はいいが
ドルビナ,5,4,鋭さひと息
ファンタイムギフト,5,4,上昇気配窺える
カルフ,3,4,上昇気配窺える
アイファーファイト,4,4,上積み薄
ベンメリア,3,3,攻め軽めも順調
タイセイエムロード,3,3,反応ひと息
ザーフィル,5,4,動き目立つ
タイセイエキサイト,1,3,使い詰めで平凡
パッカパッカブー,5,3,仕上がり途上
カンレイスキー,2,3,火曜追いで仕上る
レッドシュトラール,3,4,余裕持っての併入
オンサイト,3,3,さほど良化なく
ザローズハーツ,5,4,デキ安定
