馬名,時計スコア(1-5),状態スコア(1-5),メモ
クリコキアナ,3,3,6/4東CW稍 馬なり余力 まずまず仕上がる
レッドネビュラ,4,4,6/4東CW稍 馬なり余力 動きキビキビ 未勝利先着
イザベル,3,4,6/3栗坂不良 馬なり余力 仕上がり良好
ニシノフランケン,2,2,6/3東CW不良 一杯に追う 平凡な動き 古馬2勝に遅れ
ビスケットサンド,3,4,6/3東CW不良 未強め追う 水準の素質あり 未勝利先着
ランダムナンバー,1,1,6/4東CW粗 一杯に追う ひと追い毎に悪化
サンシルヴァリー,2,2,6/3栗坂不良 一杯に追う モタれて伸び欠く 未勝利に遅れ
スピークロウ,3,3,6/3栗坂不良 馬なり余力 力強い脚捌き
レゾルーティオ,4,4,6/4栗坂粗 馬なり余力 軽快な動き目立つ 未勝利先着
シスキンブルーム,3,3,6/3東P良 未強め追う 乗り込み入念
スピーディスピン,3,4,6/3東芝不良 未強め追う 仕上がり良好
