日付,競馬場,レース名,クラス,距離,出走頭数,馬名,馬番,予想順位,予想スコア,単勝オッズ,市場人気,実着順,前走重賞近差,前々走重賞近差,前走3F最速,同コース実績,調教A評価,叩き2戦目,近走上昇傾向,距離短縮,前走好走,前々走好走,グレード実績(3-4走前),血統距離適性,初馬場種別,距離延長,昇級初戦,特殊条件,前走ローカル,長期休養明け,枠番補正,内枠先行,軽量馬加点,複勝安定ボーナス,急坂好走なし,馬体重変動,回り不適,季節×性別,道悪適性
2026年4月4日,中山,ダービー卿CT,重賞,1600m,15,メタルスピード,4,1,14.0,8.3,4,9,0,0.0,0,4,3,0,1.0,0.0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,3.0,1,0.0,0,0,0,0,0.0
2026年4月4日,中山,ダービー卿CT,重賞,1600m,15,イミグラントソング,13,2,9.0,13.3,8,5,0,0.0,0,4,3,1,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0,0,-3,0.0,0.0,0,2.0,0,0,0,0,0.0
2026年4月4日,中山,ダービー卿CT,重賞,1600m,15,サイルーン,16,3,8.5,12.4,6,2,0,0.0,0,4,1,1,0.0,1.0,0.0,0.0,1.0,0.5,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0
2026年4月4日,中山,ダービー卿CT,重賞,1600m,15,ミニトランザット,2,4,7.0,6.0,2,4,0,0.0,0,0,3,0,0.0,0.0,2.0,0.0,0.0,0.5,0,0,0,0,0,0,-0.5,0.0,0,2.0,0,0,0,0,0.0
2026年4月4日,中山,ダービー卿CT,重賞,1600m,15,エンペラーズソード,3,5,7.0,16.7,11,8,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,3.0,1,2.0,-2,0,0,0,0.0
2026年4月4日,中山,ダービー卿CT,重賞,1600m,15,スズハローム,11,6,6.5,15.9,10,1,0,0.0,4,0,2,0,1.0,0.0,2.0,0.0,0.0,-0.5,0,0,0,0,0,0,0.0,0.0,0,0.0,-2,0,0,0,0.0
2026年4月4日,中山,ダービー卿CT,重賞,1600m,15,ケイアイセナ,10,7,5.0,6.8,3,10,0,0.0,0,0,3,0,0.0,1.0,1.0,0.0,1.5,0.5,0,0,0,0,0,0,0.0,0.0,0,0.0,-2,0,0,0,0.0
2026年4月4日,中山,ダービー卿CT,重賞,1600m,15,ブエナオンダ,5,8,4.5,13.1,7,6,0,0.0,0,0,1,0,0.0,0.0,0.0,1.0,1.0,0.5,0,0,0,0,0,0,0.0,0.0,0,3.0,-2,0,0,0,0.0
2026年4月4日,中山,ダービー卿CT,重賞,1600m,15,ファーヴェント,8,9,3.0,5.7,1,3,0,0.0,0,0,2,1,0.0,0.0,1.0,0.0,1.0,-0.5,0,0,0,0,0,0,0.5,0.0,0,0.0,-2,0,0,0,0.0
2026年4月4日,中山,ダービー卿CT,重賞,1600m,15,ダディーズビビッド,12,10,2.5,154.2,15,14,0,0.0,0,0,3,1,0.0,0.0,0.0,0.0,1.0,0.5,0,-3,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0
2026年4月4日,中山,ダービー卿CT,重賞,1600m,15,ジュンブロッサム,14,11,2.0,17.0,12,11,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,-2,0,0,0,0.0
2026年4月4日,中山,ダービー卿CT,重賞,1600m,15,エエヤン,9,12,1.0,115.1,14,12,0,0.0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,-2,0,0,0,0.0
2026年4月4日,中山,ダービー卿CT,重賞,1600m,15,シリウスコルト,15,13,1.0,9.1,5,13,0,0.0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,-2,0,0,0,0.0
2026年4月4日,中山,ダービー卿CT,重賞,1600m,15,ゾンニッヒ,1,14,-0.5,14.7,9,7,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.5,0.0,0,0.0,-2,0,0,0,0.0
2026年4月4日,中山,ダービー卿CT,重賞,1600m,15,マテンロウオリオン,6,15,-3.0,25.0,13,15,0,0.0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,-3,0,0.0,0.0,0,0.0,-2,0,0,0,0.0
2026年4月4日,阪神,4歳以上2勝クラス,2勝クラス,1200m,9,リリーフィールド,7,1,4.5,4.6,3,3,0,0.0,0,0,2,1,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0
2026年4月4日,阪神,4歳以上2勝クラス,2勝クラス,1200m,9,タガノアンファン,1,2,4.0,3.6,2,2,0,0.0,2,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0
2026年4月4日,阪神,4歳以上2勝クラス,2勝クラス,1200m,9,クイーンズデイ,6,3,3.0,7.2,4,4,0,0.0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0
2026年4月4日,阪神,4歳以上2勝クラス,2勝クラス,1200m,9,ディアドコス,2,4,2.5,2.7,1,1,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5,0.0,0,0.0,0,0,0,0,0.0
2026年4月4日,阪神,4歳以上2勝クラス,2勝クラス,1200m,9,レッドセニョール,4,5,2.5,62.2,8,8,0,0.0,0,0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,-0.5,0.0,0,0.0,0,0,0,0,0.0
2026年4月4日,阪神,4歳以上2勝クラス,2勝クラス,1200m,9,キントラダンサー,8,6,1.5,12.1,6,6,0,0.0,0,0,0,0,1.0,1.0,0.0,0.0,0.0,-0.5,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0
2026年4月4日,阪神,4歳以上2勝クラス,2勝クラス,1200m,9,ブリーズオンチーク,3,7,-0.5,111.8,9,9,0,0.0,0,0,2,1,0.0,1.0,0.0,0.0,0.0,0.0,-5,0,0,0,0,0,0.5,0.0,0,0.0,0,0,0,0,0.0
2026年4月4日,阪神,4歳以上2勝クラス,2勝クラス,1200m,9,サンドロナイト,9,8,-1.0,7.8,5,7,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-3,0.0,0.0,0,0.0,0,0,0,0,0.0
2026年4月4日,阪神,4歳以上2勝クラス,2勝クラス,1200m,9,ミロワール,5,9,-3.0,37.0,7,5,0,0.0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,-5,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0
2026年4月4日,阪神,チャーチルダウンズC,重賞,1600m,14,シーミハットク,5,1,14.0,18.1,6,4,0,0.0,4,4,3,0,1.0,0.0,2.0,0.0,0.0,-0.5,0,0,0,0,0,0,0.5,0.0,0,0.0,0,0,0,0,0.0
2026年4月4日,阪神,チャーチルダウンズC,重賞,1600m,14,バルセシート,10,2,11.5,6.9,3,3,0,0.0,4,0,3,1,1.0,0.0,1.0,0.0,1.0,0.5,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0
2026年4月4日,阪神,チャーチルダウンズC,重賞,1600m,14,リゾートアイランド,3,3,10.5,9.9,4,9,0,0.0,0,0,2,0,0.0,0.0,2.0,0.5,0.0,1.0,0,0,0,0,0,0,0.0,3.0,0,2.0,0,0,0,0,0.0
2026年4月4日,阪神,チャーチルダウンズC,重賞,1600m,14,アンドゥーリル,8,4,8.0,2.8,1,8,0,0.0,0,0,2,1,0.0,1.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0,2.0,0,0,0,0,0.0
2026年4月4日,阪神,チャーチルダウンズC,重賞,1600m,14,サンダーストラック,6,5,7.0,2.8,2,12,0,0.0,0,0,3,0,0.0,0.0,2.0,0.0,1.0,0.5,0,0,0,0,0,0,0.5,0.0,0,0.0,0,0,0,0,0.0
2026年4月4日,阪神,チャーチルダウンズC,重賞,1600m,14,サトノセプター,7,6,7.0,19.8,7,13,0,0.0,0,4,2,0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0
2026年4月4日,阪神,チャーチルダウンズC,重賞,1600m,14,サーディンラン,12,7,6.5,75.7,11,5,0,0.0,0,0,1,1,0.0,0.0,1.0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0,3.0,0,0,0,0,0.0
2026年4月4日,阪神,チャーチルダウンズC,重賞,1600m,14,ファンクション,13,8,5.5,70.7,10,14,0,0.0,0,0,3,0,0.0,0.0,0.0,0.5,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0
2026年4月4日,阪神,チャーチルダウンズC,重賞,1600m,14,クールデイトナ,9,9,4.0,69.5,9,6,0,0.0,0,0,3,0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0
2026年4月4日,阪神,チャーチルダウンズC,重賞,1600m,14,メイショウソラリス,2,10,4.0,94.5,13,10,0,0.0,0,0,1,1,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,3.0,0,0.0,-2,0,0,0,0.0
2026年4月4日,阪神,チャーチルダウンズC,重賞,1600m,14,エイシンティザー,4,11,4.0,20.8,8,11,0,0.0,0,0,3,1,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0,0.0,-2,0,0,0,0.0
2026年4月4日,阪神,チャーチルダウンズC,重賞,1600m,14,アスクイキゴミ,14,12,3.5,13.8,5,1,0,0.0,0,0,3,0,0.0,0.0,2.0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0,0.0,-2,0,0,0,0.0
2026年4月4日,阪神,チャーチルダウンズC,重賞,1600m,14,ユウファラオ,11,13,2.0,243.9,14,2,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0
2026年4月4日,阪神,チャーチルダウンズC,重賞,1600m,14,ストームサンダー,1,14,1.5,75.7,12,7,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,-0.5,0.0,0,2.0,-2,0,0,0,0.0
2026年4月5日,中山,安房特別,2勝クラス,2500m,8,オストラヴァ,1,1,14.0,2.1,1,1,0,0.0,4,0,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,3.0,0,3.0,0,0,0,0,0.0
2026年4月5日,中山,安房特別,2勝クラス,2500m,8,カーミングライツ,3,2,8.0,6.8,3,5,0,0.0,0,0,1,1,0.0,0.0,2.0,0.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0,3.0,0,0,0,0,0.0
2026年4月5日,中山,安房特別,2勝クラス,2500m,8,イクリール,7,3,8.0,3.5,2,8,0,0.0,0,0,2,1,0.0,0.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,0,2.0,0,0,0,0,0.0
2026年4月5日,中山,安房特別,2勝クラス,2500m,8,ロールザダイス,4,4,7.5,13.8,7,3,0,0.0,0,0,2,0,1.0,0.0,2.0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0,2.0,0,0,0,0,0.0
2026年4月5日,中山,安房特別,2勝クラス,2500m,8,レイデラルース,2,5,6.5,27.6,8,4,0,0.0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,3.0,0,0.0,0,0,0,0,0.0
2026年4月5日,中山,安房特別,2勝クラス,2500m,8,タッチアンドムーブ,6,6,5.0,12.0,5,6,0,0.0,0,0,2,1,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0
2026年4月5日,中山,安房特別,2勝クラス,2500m,8,リギーロ,5,7,3.5,11.2,4,7,0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0,2.0,0,0,0,0,0.0
2026年4月5日,中山,安房特別,2勝クラス,2500m,8,ダイシンアポロン,8,8,1.5,12.1,6,2,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0
2026年4月5日,中山,4歳以上2勝クラス,2勝クラス,1600m,12,プリムツァール,12,1,16.0,2.4,1,2,0,0.0,4,4,3,0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0,2.0,0,0,0,0,0.0
2026年4月5日,中山,4歳以上2勝クラス,2勝クラス,1600m,12,リバーバレイト,3,2,13.5,3.0,2,1,0,0.0,0,4,2,1,0.0,0.0,0.0,1.0,1.0,-0.5,0,0,0,0,0,0,0.0,3.0,0,2.0,0,0,0,0,0.0
2026年4月5日,中山,4歳以上2勝クラス,2勝クラス,1600m,12,パワースナッチ,5,3,7.0,5.6,3,3,0,0.0,0,0,2,1,1.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,2.0,0,0,0,0,0.0
2026年4月5日,中山,4歳以上2勝クラス,2勝クラス,1600m,12,シャンパンマーク,2,4,4.5,13.5,5,4,0,0.0,0,0,2,1,1.0,0.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0
2026年4月5日,中山,4歳以上2勝クラス,2勝クラス,1600m,12,マイネルフォルツァ,9,5,4.5,35.4,8,9,0,0.0,0,0,3,0,1.0,1.0,0.0,0.0,0.0,-0.5,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0
2026年4月5日,中山,4歳以上2勝クラス,2勝クラス,1600m,12,レーヴブリリアント,11,6,4.0,9.0,4,5,0,0.0,0,0,2,0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0
2026年4月5日,中山,4歳以上2勝クラス,2勝クラス,1600m,12,ケイケイ,10,7,3.0,24.0,6,10,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0
2026年4月5日,中山,4歳以上2勝クラス,2勝クラス,1600m,12,ミラーダカリエンテ,1,8,2.5,24.1,7,8,0,0.0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,-2,0,-0.5,3.0,0,0.0,0,0,0,0,0.0
2026年4月5日,中山,4歳以上2勝クラス,2勝クラス,1600m,12,ロゼル,8,9,2.0,42.7,9,6,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0
2026年4月5日,中山,4歳以上2勝クラス,2勝クラス,1600m,12,アンタノバラード,6,10,2.0,113.2,10,11,0,0.0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0
2026年4月5日,中山,4歳以上2勝クラス,2勝クラス,1600m,12,ラーテル,7,11,1.5,236.5,12,7,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0.0
2026年4月5日,中山,4歳以上2勝クラス,2勝クラス,1600m,12,ダイシンバースディ,4,12,1.5,162.0,11,12,0,0.0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5,0.0,0,0.0,0,0,0,0,0.0
2026年4月5日,阪神,4歳以上2勝クラス,2勝クラス,1800m,11,フェアリーライク,9,1,8.0,3.4,3,4,0,0.0,4,0,1,0,0.0,0.0,0.0,0.0,1.0,0.5,0,0,0,0,0,0,-0.5,0.0,0,2.0,0,0,0,0,0.0
