race_id,surface,distance,frame,rank,time_sec,time_diff
202405010209,芝,1800,6,7,109.6,0.7999999999999972
202405010209,芝,1800,8,8,109.8,1.0
202405010209,芝,1800,2,9,110.1,1.2999999999999972
202405010210,芝,1600,8,1,92.5,0.0
202405010210,芝,1600,2,2,92.6,0.09999999999999432
202405010210,芝,1600,1,3,92.7,0.20000000000000284
202405010210,芝,1600,7,4,92.9,0.4000000000000057
202405010210,芝,1600,3,5,93.0,0.5
202405010210,芝,1600,4,6,93.1,0.5999999999999943
202405010210,芝,1600,5,7,93.2,0.7000000000000028
202405010210,芝,1600,5,8,93.3,0.7999999999999972
202405010210,芝,1600,4,9,93.5,1.0
202405010210,芝,1600,6,10,93.6,1.0999999999999943
202405010210,芝,1600,6,11,93.7,1.2000000000000028
202405010210,芝,1600,8,12,93.8,1.2999999999999972
202405010210,芝,1600,7,13,94.1,1.5999999999999943
202405010210,芝,1600,3,14,94.8,2.299999999999997
202405010212,芝,2000,5,1,118.4,0.0
202405010212,芝,2000,3,2,118.7,0.29999999999999716
202405010212,芝,2000,6,3,118.9,0.5
202405010212,芝,2000,4,4,119.0,0.5999999999999943
202405010212,芝,2000,2,5,119.2,0.7999999999999972
202405010212,芝,2000,6,6,119.3,0.8999999999999915
202405010212,芝,2000,8,7,119.6,1.1999999999999886
202405010212,芝,2000,7,8,119.8,1.3999999999999915
202405010212,芝,2000,1,9,119.9,1.5
202405010212,芝,2000,7,10,119.9,1.5
202405010212,芝,2000,8,11,120.0,1.5999999999999943
202405010305,芝,1600,6,1,95.8,0.0
202405010305,芝,1600,8,2,96.2,0.4000000000000057
202405010305,芝,1600,2,3,96.8,1.0
202405010305,芝,1600,7,4,96.9,1.1000000000000085
202405010305,芝,1600,6,5,97.0,1.2000000000000028
202405010305,芝,1600,8,6,97.1,1.2999999999999972
202405010305,芝,1600,4,7,97.4,1.6000000000000085
202405010305,芝,1600,2,8,97.5,1.7000000000000028
202405010305,芝,1600,1,9,97.5,1.7000000000000028
202405010305,芝,1600,5,10,97.8,2.0
202405010305,芝,1600,3,11,98.2,2.4000000000000057
202405010305,芝,1600,5,12,98.6,2.799999999999997
202405010305,芝,1600,3,13,98.9,3.1000000000000085
202405010305,芝,1600,7,14,98.9,3.1000000000000085
202405010305,芝,1600,4,15,99.0,3.200000000000003
202405010305,芝,1600,1,16,99.9,4.1000000000000085
202405010306,芝,2400,3,1,146.3,0.0
202405010306,芝,2400,5,2,146.4,0.09999999999999432
202405010306,芝,2400,4,3,146.9,0.5999999999999943
202405010306,芝,2400,6,4,147.3,1.0
202405010306,芝,2400,5,5,147.8,1.5
202405010306,芝,2400,7,6,148.0,1.6999999999999886
202405010306,芝,2400,8,7,148.4,2.0999999999999943
202405010306,芝,2400,2,8,148.5,2.1999999999999886
202405010306,芝,2400,6,9,148.6,2.299999999999983
202405010306,芝,2400,4,10,149.0,2.6999999999999886
202405010306,芝,2400,1,11,149.2,2.8999999999999773
202405010306,芝,2400,8,12,150.7,4.399999999999977
202405010306,芝,2400,7,13,151.0,4.699999999999989
202405010307,芝,1600,5,1,92.8,0.0
202405010307,芝,1600,3,2,92.9,0.10000000000000853
202405010307,芝,1600,4,3,93.0,0.20000000000000284
202405010307,芝,1600,2,4,93.2,0.4000000000000057
202405010307,芝,1600,8,5,93.5,0.7000000000000028
202405010307,芝,1600,4,6,93.6,0.7999999999999972
202405010307,芝,1600,1,7,93.8,1.0
202405010307,芝,1600,5,8,93.8,1.0
202405010307,芝,1600,6,9,93.8,1.0
202405010307,芝,1600,7,10,94.2,1.4000000000000057
202405010307,芝,1600,7,11,94.4,1.6000000000000085
202405010307,芝,1600,6,12,95.8,3.0
202405010307,芝,1600,8,13,95.9,3.1000000000000085
202405010309,芝,1400,7,1,81.1,0.0
202405010309,芝,1400,4,2,81.3,0.20000000000000284
202405010309,芝,1400,2,3,81.5,0.4000000000000057
202405010309,芝,1400,3,3,81.5,0.4000000000000057
202405010309,芝,1400,1,5,81.5,0.4000000000000057
202405010309,芝,1400,5,6,81.6,0.5
202405010309,芝,1400,8,7,82.4,1.3000000000000114
202405010309,芝,1400,6,8,82.5,1.4000000000000057
202405010310,芝,1400,4,1,79.9,0.0
202405010310,芝,1400,8,2,80.1,0.19999999999998863
202405010310,芝,1400,3,3,80.1,0.19999999999998863
202405010310,芝,1400,3,4,80.3,0.3999999999999915
202405010310,芝,1400,2,5,80.6,0.6999999999999886
202405010310,芝,1400,6,6,80.7,0.7999999999999972
202405010310,芝,1400,6,7,80.7,0.7999999999999972
202405010310,芝,1400,7,8,80.8,0.8999999999999915
202405010310,芝,1400,7,9,80.9,1.0
202405010310,芝,1400,2,10,80.9,1.0
202405010310,芝,1400,8,11,80.9,1.0
202405010310,芝,1400,1,12,81.0,1.0999999999999943
202405010310,芝,1400,5,13,81.2,1.2999999999999972
