race_id,race_name,class,surface,horse_name,age_sex,n_past_races,odds,popularity,field_size,act_rank,score,frame,weight_carried,sire,plus_factors,minus_factors,n_minus,odds_bucket
202506050409,霞ケ浦特別,2勝クラス,芝,ダンツファイター,牡3,5,12.5,6,12,2,7.0,3,57.0,,"training_rank,second_start,rising_trend,prev_run_bonus,inner_post_senko,win_count",,0,7〜15倍
202506050709,ベストウィッシュC,2勝クラス,芝,スムースベルベット,牝5,5,295.3,14,16,2,1.0,8,56.0,ディスクリートキャットDiscreet Cat,"training_rank,second_start",seasonal_sex,1,30倍以上
202506050711,ホープフルS,重賞,芝,ロブチェン,牡2,1,19.8,7,16,1,5.875,2,56.0,ワールドプレミア,"training_rank,prev_run_bonus,win_count,bloodline_distance",post_surface,1,15〜30倍
202506050811,有馬記念,重賞,芝,コスモキュランダ,牡4,5,111.5,11,16,2,0.5,5,58.0,アルアイン,training_rank,,0,30倍以上
202507050111,飛騨S,3勝クラス,芝,サトミノキラリ,牡4,5,12.5,6,12,2,0.5,7,58.0,,training_rank,post_surface,1,7〜15倍
202507050209,犬山特別,2勝クラス,ダ,エイシンナデシコ,牝3,5,25.5,10,16,1,2.5,8,55.0,,"training_rank,pace_fit",seasonal_sex,1,15〜30倍
202507050211,チャンピオンズC,重賞,ダ,ウィルソンテソーロ,牡6,5,7.3,3,16,2,6.375,4,58.0,キタサンブラック,"training_rank,prev2_run_bonus,grade_history,win_count",,0,7〜15倍
202507050211,チャンピオンズC,重賞,ダ,ラムジェット,牡4,5,12.8,7,16,3,6.375,4,58.0,マジェスティックウォリアーMajestic Warrior,"training_rank,second_start,prev2_run_bonus,grade_history,pace_fit",,0,7〜15倍
202507050311,中日新聞杯,重賞,芝,ジューンテイク,牡4,5,9.5,5,17,3,3.5,2,57.0,キズナ,"training_rank,distance_drop,bloodline_distance",post_surface,1,7〜15倍
202507050411,知立S,3勝クラス,芝,キャプテンシー,牡4,5,14.5,6,10,3,2.0,5,58.0,,"training_rank,distance_drop",,0,7〜15倍
202507050509,クリスマスローズS,OP,芝,ミスターバッドガイ,牡2,5,25.5,6,9,3,6.5,5,56.0,,"training_rank,grade_history,win_count",local_prev,1,15〜30倍
202507050511,尾頭橋S,3勝クラス,ダ,ピクシレーション,牝5,5,26.4,6,11,2,3.875,8,56.0,,"training_rank,second_start,prev2_run_bonus,win_count",seasonal_sex,1,15〜30倍
202507050612,尾張特別,2勝クラス,芝,リチャードバローズ,牡4,5,8.3,4,18,1,3.0,8,56.0,,"training_rank,second_start",,0,7〜15倍
202507050612,尾張特別,2勝クラス,芝,タイキヴァンクール,牡4,4,34.7,13,18,3,1.5,4,56.0,エイシンヒカリ,"training_rank,second_start",local_prev,1,30倍以上
202508030108,3歳以上2勝クラス,2勝クラス,芝,マトラコーニッシュ,牝3,4,11.0,4,12,2,5.5,8,54.0,サートゥルナーリア,"training_rank,rising_trend,prev2_run_bonus,win_count",,0,7〜15倍
202508030112,3歳以上2勝クラス,2勝クラス,ダ,モックモック,牡5,5,7.1,2,13,2,2.0,4,56.0,ダノンレジェンド,training_rank,,0,7〜15倍
202508030209,大原S,3勝クラス,芝,アイスグリーン,牡5,5,9.7,4,9,2,2.0,3,58.0,,"training_rank,prev_run_bonus,prev2_run_bonus,inner_post_senko",post_surface,1,7〜15倍
202508030210,藤森S,OP,ダ,スターターン,牡4,5,7.0,2,16,3,4.5,2,57.0,グレーターロンドン,"training_rank,grade_history,pace_fit",post_surface,1,7〜15倍
202508030408,3歳以上2勝クラス,2勝クラス,ダ,ウィンターダフネ,牝5,5,37.8,10,14,2,2.5,7,53.0,ブラックタイド,"training_rank,bloodline_distance",,0,30倍以上
202508030409,円山特別,2勝クラス,ダ,アメリカンビキニ,牝3,5,2.2,1,14,1,2.375,7,55.0,,"training_rank,second_start,prev_run_bonus,grade_history",,0,〜3倍
202508030410,三年坂S,3勝クラス,芝,マイネルチケット,牡3,5,2.6,1,13,2,2.625,2,56.0,ダノンバラード,"training_rank,prev_run_bonus,prev2_run_bonus",,0,〜3倍
202508030410,三年坂S,3勝クラス,芝,ウォーターガーベラ,牝3,5,5.4,2,13,3,2.25,7,54.0,,"training_rank,rising_trend,prev2_run_bonus",long_rest,1,3〜7倍
202508030709,もみじS,OP,芝,リリージョワ,牝2,1,2.7,2,7,1,5.375,7,55.0,シルバーステート,"training_rank,prev_run_bonus,win_count",post_surface,1,〜3倍
202508030710,京都競馬場開設100周年記念,3勝クラス,ダ,エストレヤデベレン,牡4,5,12.1,4,16,2,1.875,5,57.0,エピファネイア,"training_rank,prev2_run_bonus",,0,7〜15倍
202508030711,秋華賞,重賞,芝,エリカエクスプレス,牝3,5,15.1,5,18,2,6.5,5,55.0,エピファネイア,"training_rank,second_start,grade_history,win_count,bloodline_distance",distance_up,1,15〜30倍
202508030811,カシオペアS,OP,芝,ショウナンマグマ,セ6,5,74.2,9,10,3,2.5,8,58.0,ザファクター,"training_rank,second_start,distance_drop",post_surface,1,30倍以上
202508031008,3歳以上2勝クラス,2勝クラス,ダ,ブレイゼスト,牡5,5,24.1,10,15,2,2.0,5,58.0,,"training_rank,second_start",,0,15〜30倍
202508031010,ハロウィンS,3勝クラス,ダ,テーオーグランビル,牡5,5,5.3,4,13,1,1.5,4,58.0,Lea,"fastest_3f,training_rank,second_start,pace_fit","first_surface,local_prev",2,3〜7倍
202508031108,3歳以上2勝クラス,2勝クラス,ダ,ズバットマサムネ,セ4,5,67.9,9,15,2,0.0,1,58.0,キンシャサノキセキ,"training_rank,bloodline_distance",post_surface,1,30倍以上
202508031110,古都S,3勝クラス,芝,ヴォランテ,牡5,5,9.4,6,13,1,-3.0,2,57.0,サトノクラウン,training_rank,distance_up,1,7〜15倍
202508031112,3歳以上2勝クラス,2勝クラス,芝,メイショウカイト,牝7,5,14.9,8,12,3,4.0,5,56.0,ラブリーデイ,"training_rank,second_start,distance_drop,pace_fit",,0,7〜15倍
202508031112,3歳以上2勝クラス,2勝クラス,芝,ハワイアンタイム,セ5,5,27.8,10,12,1,2.0,7,58.0,ロードカナロア,"training_rank,bloodline_distance,pace_fit","long_rest,post_surface",2,15〜30倍
202508040109,亀岡特別,2勝クラス,ダ,ジャスパーバローズ,牡5,5,88.5,10,16,1,1.5,2,58.0,,"training_rank,pace_fit",post_surface,1,30倍以上
202508040110,清水S,3勝クラス,芝,エポックヴィーナス,牝4,5,30.4,9,12,3,6.5,1,56.0,ヴィクトワールピサ,"same_course,training_rank,second_start,win_count,bloodline_distance",post_surface,1,30倍以上
202508040110,清水S,3勝クラス,芝,フロムダスク,牡5,5,70.2,11,12,1,3.625,8,58.0,Bolt d'Oro,"training_rank,second_start,rising_trend",,0,30倍以上
202508040209,木津川特別,2勝クラス,芝,アンジョルラス,セ4,5,12.4,6,8,3,6.875,7,58.0,キズナ,"same_course,training_rank,prev2_run_bonus,win_count,bloodline_distance",,0,7〜15倍
202508040210,貴船S,3勝クラス,ダ,ショウナンアビアス,牡5,5,16.1,6,12,2,0.25,2,58.0,ドレフォンDrefong,"training_rank,prev_run_bonus",post_surface,1,15〜30倍
202508040308,3歳以上2勝クラス,2勝クラス,芝,サクソンジェンヌ,牝4,5,7.9,4,7,3,3.0,1,56.0,,"training_rank,pace_fit",local_prev,1,7〜15倍
202508040309,深草特別,2勝クラス,ダ,スペシャルナンバー,牡6,5,49.7,11,15,3,-0.5,3,58.0,リオンディーズ,training_rank,,0,30倍以上
202508040310,アンドロメダS,OP,芝,マイネルケレリウス,牡5,5,23.8,9,16,3,4.5,8,57.0,ルーラーシップ,"training_rank,rising_trend,prev2_run_bonus,bloodline_distance",,0,15〜30倍
202508040311,デイリー杯2歳S,重賞,芝,アイガーリー,牡2,1,34.0,7,8,3,4.375,4,56.0,,"training_rank,prev_run_bonus,win_count",,0,30倍以上
202508040408,3歳以上2勝クラス,2勝クラス,芝,オンザブルースカイ,牡3,5,116.1,14,15,2,1.5,2,57.0,,training_rank,post_surface,1,30倍以上
202508040411,エリザベス女王杯,重賞,芝,ライラック,牝6,5,32.7,9,16,3,7.25,6,56.0,オルフェーヴル,"fastest_3f,training_rank,second_start,rising_trend,prev_run_bonus,bloodline_distance",distance_up,1,30倍以上
202508040412,ドンカスターC,3勝クラス,芝,セブンマジシャン,牡5,5,4.0,2,12,3,3.0,4,57.0,,"training_rank,pace_fit",,0,3〜7倍
202508040412,ドンカスターC,3勝クラス,芝,アウフヘーベン,牝5,5,11.1,6,12,2,2.5,8,53.0,,"training_rank,grade_history",post_surface,1,7〜15倍
202508040611,マイルCS,重賞,芝,ウォーターリヒト,牡4,5,130.2,15,18,3,6.5,2,58.0,ドレフォンDrefong,"training_rank,second_start,grade_history,win_count",,0,30倍以上
202508040612,醍醐S,3勝クラス,芝,パクスロマーナ,牝5,5,85.2,13,16,3,4.75,8,56.0,,"training_rank,second_start,prev2_run_bonus,win_count",,0,30倍以上
202508040708,3歳以上2勝クラス,2勝クラス,ダ,クリノオリーブ,牝4,5,25.7,7,16,3,2.0,4,54.0,ニューイヤーズデイ,"training_rank,second_start",,0,15〜30倍
