section,label,class,n,win,win_rate_pct,invest,return,roi_pct
Step3_bonus_roi,+1pt (diff<=0.0),3勝×ダ,71,17,23.94,71000,37970,53.48
Step3_bonus_roi,+2pt (diff<=0.0),3勝×ダ,71,17,23.94,71000,37970,53.48
Step3_bonus_roi,+1pt (diff<=0.5),3勝×ダ,71,14,19.72,71000,52820,74.39
Step3_bonus_roi,+2pt (diff<=0.5),3勝×ダ,71,14,19.72,71000,52820,74.39
Step4_corner4_style,先行(1-4),全体×芝,1263,115,9.11,0,0,0
Step4_corner4_style,先行(1-4),全体×ダ,1055,96,9.1,0,0,0
Step4_corner4_style,差し(5-8),全体×芝,976,76,7.79,0,0,0
Step4_corner4_style,差し(5-8),全体×ダ,788,58,7.36,0,0,0
Step4_corner4_style,追込(9+),全体×芝,1075,49,4.56,0,0,0
Step4_corner4_style,追込(9+),全体×ダ,1016,38,3.74,0,0,0
