日付,競馬場,レース名,クラス,距離,出走頭数,馬名,馬番,予想順位,予想スコア,単勝オッズ,市場人気,実着順,前走重賞近差,前々走重賞近差,前走3F最速,同コース実績,調教A評価,叩き2戦目,近走上昇傾向,距離短縮,前走好走,前々走好走,グレード実績(3-4走前),血統距離適性,初馬場種別,距離延長,昇級初戦,特殊条件,前走ローカル,長期休養明け,枠番補正,内枠先行,軽量馬加点,複勝安定ボーナス,騎手ボーナス(重賞),急坂好走なし,馬体重変動,回り不適,季節×性別,道悪適性
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1800m,12,マイネルアレス,6,8,1.5,6.9,4,2,0,0.0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1800m,12,レゼールドラペ,12,9,1.5,68.9,10,7,0,0.0,0,0,2,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,-1,0,-0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1800m,12,ナムラブーニン,5,10,0.5,15.8,8,3,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1800m,12,スターエンブレム,1,11,0.5,8.6,5,12,0,0.0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.5,-3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,新潟,4歳以上1勝クラス,1勝クラス,1800m,12,サンピアノソナタ,2,12,-3.5,158.5,11,10,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-1,-3,-0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,京都,4歳以上1勝クラス,1勝クラス,2000m,8,タンテドヴィーヴル,7,1,8.5,1.4,1,1,0,0.0,0,0,2,1,1.0,0.0,2.0,0.5,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,2.0,0.0,0,0,0,0,0.0
2026年5月3日,京都,4歳以上1勝クラス,1勝クラス,2000m,8,ボナペティアスク,1,2,7.0,60.4,7,8,0,0.0,2,0,2,1,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,京都,4歳以上1勝クラス,1勝クラス,2000m,8,アンビアンス,8,3,4.0,22.8,5,6,0,0.0,0,0,2,0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,0,0,-1,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,京都,4歳以上1勝クラス,1勝クラス,2000m,8,ジェロニモス,6,4,3.0,7.1,3,5,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,京都,4歳以上1勝クラス,1勝クラス,2000m,8,サラコスティ,4,5,2.5,3.5,2,2,0,0.0,0,0,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,0,0,-1,0,0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,京都,4歳以上1勝クラス,1勝クラス,2000m,8,レイデラティエラ,5,6,1.5,19.4,4,3,0,0.0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.5,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,京都,4歳以上1勝クラス,1勝クラス,2000m,8,テレプシコーラ,3,7,0.5,25.3,6,7,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,-0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
2026年5月3日,京都,4歳以上1勝クラス,1勝クラス,2000m,8,ヴェストラン,2,8,-0.5,145.5,8,4,0,0.0,0,0,2,0,0.0,0.0,0.0,0.0,1.0,0.0,-3,0,0,0,0,0,-0.5,0.0,0,0.0,0.0,0,0,0,0,0.0
