騎手ボーナス バックテスト結果（v2）

=== Step1: 全騎手別統計（騎乗10件以上） ===
騎手名,騎乗数,1着数,1着率,3着内数,複勝率,リーディング
川田,16,2,12.5%,5,31.2%
横山武,44,4,9.1%,14,31.8%
武豊,42,5,11.9%,10,23.8%
Ｃデム,7,0,0.0%,2,28.6%

=== 判定まとめ ===
3勝クラス×芝,追加NG（ベースライン以下）,n=81,base=75.2%,best=75.2%,delta=+0.0%
3勝クラス×ダ,追加NG（ベースライン以下）,n=71,base=53.0%,best=53.0%,delta=+0.0%
オープン×芝,要追加データ（n=0<50）,n=0,base=0.0%,best=0.0%,delta=+0.0%
オープン×ダ,要追加データ（n=0<50）,n=0,base=0.0%,best=0.0%,delta=+0.0%
