variant,group,n,bet,hit_rate_pct,roi_pct
pace_fit=0,重賞×ダ,11,複勝(top1),45.45,71.82
pace_fit=0,重賞×ダ,11,5着以内(top1),45.45,
pace_fit=0,重賞×ダ,11,馬連1-2,9.09,27.27
pace_fit=0,重賞×ダ,11,三連複4頭BOX,9.09,19.55
pace_fit=0,重賞×ダ,11,三連複5頭BOX,9.09,7.82
pace_fit=0,重賞×芝,81,複勝(top1),32.1,49.51
pace_fit=0,重賞×芝,81,5着以内(top1),53.09,
pace_fit=0,重賞×芝,81,馬連1-2,0.0,0.0
pace_fit=0,重賞×芝,81,三連複4頭BOX,2.47,65.96
pace_fit=0,重賞×芝,81,三連複5頭BOX,7.41,35.83
rising_trend=0,全体,660,複勝(top1),48.03,77.83
rising_trend=0,全体,660,5着以内(top1),64.85,
rising_trend=0,全体,660,馬連1-2,7.73,143.94
rising_trend=0,全体,660,三連複4頭BOX,7.88,58.95
rising_trend=0,全体,660,三連複5頭BOX,15.0,60.58
rising_trend=0,2勝クラス×ダ,160,複勝(top1),45.62,85.12
rising_trend=0,2勝クラス×ダ,160,5着以内(top1),60.62,
rising_trend=0,2勝クラス×ダ,160,馬連1-2,6.25,45.62
rising_trend=0,2勝クラス×ダ,160,三連複4頭BOX,7.5,52.45
rising_trend=0,2勝クラス×ダ,160,三連複5頭BOX,17.5,85.03
rising_trend=0,2勝クラス×芝,151,複勝(top1),59.6,79.87
rising_trend=0,2勝クラス×芝,151,5着以内(top1),76.82,
rising_trend=0,2勝クラス×芝,151,馬連1-2,8.61,52.12
rising_trend=0,2勝クラス×芝,151,三連複4頭BOX,11.92,46.79
rising_trend=0,2勝クラス×芝,151,三連複5頭BOX,17.88,36.64
rising_trend=0,3勝クラス×ダ,71,複勝(top1),49.3,89.15
rising_trend=0,3勝クラス×ダ,71,5着以内(top1),67.61,
rising_trend=0,3勝クラス×ダ,71,馬連1-2,14.08,293.24
rising_trend=0,3勝クラス×ダ,71,三連複4頭BOX,8.45,104.82
rising_trend=0,3勝クラス×ダ,71,三連複5頭BOX,12.68,53.01
rising_trend=0,3勝クラス×芝,81,複勝(top1),53.09,76.67
rising_trend=0,3勝クラス×芝,81,5着以内(top1),65.43,
rising_trend=0,3勝クラス×芝,81,馬連1-2,4.94,122.59
rising_trend=0,3勝クラス×芝,81,三連複4頭BOX,4.94,25.74
rising_trend=0,3勝クラス×芝,81,三連複5頭BOX,14.81,77.77
rising_trend=0,OP×ダ,48,複勝(top1),37.5,73.33
rising_trend=0,OP×ダ,48,5着以内(top1),50.0,
rising_trend=0,OP×ダ,48,馬連1-2,16.67,593.33
rising_trend=0,OP×ダ,48,三連複4頭BOX,6.25,142.5
rising_trend=0,OP×ダ,48,三連複5頭BOX,12.5,76.9
rising_trend=0,OP×芝,57,複勝(top1),47.37,90.7
rising_trend=0,OP×芝,57,5着以内(top1),63.16,
rising_trend=0,OP×芝,57,馬連1-2,7.02,336.67
rising_trend=0,OP×芝,57,三連複4頭BOX,8.77,41.71
rising_trend=0,OP×芝,57,三連複5頭BOX,17.54,44.37
rising_trend=0,重賞×ダ,11,複勝(top1),36.36,56.36
rising_trend=0,重賞×ダ,11,5着以内(top1),54.55,
rising_trend=0,重賞×ダ,11,馬連1-2,9.09,27.27
rising_trend=0,重賞×ダ,11,三連複4頭BOX,9.09,19.55
rising_trend=0,重賞×ダ,11,三連複5頭BOX,9.09,7.82
rising_trend=0,重賞×芝,81,複勝(top1),33.33,47.41
rising_trend=0,重賞×芝,81,5着以内(top1),59.26,
rising_trend=0,重賞×芝,81,馬連1-2,1.23,13.7
rising_trend=0,重賞×芝,81,三連複4頭BOX,3.7,55.4
rising_trend=0,重賞×芝,81,三連複5頭BOX,7.41,55.27
両方=0,全体,660,複勝(top1),48.79,76.8
両方=0,全体,660,5着以内(top1),64.85,
両方=0,全体,660,馬連1-2,6.97,126.38
両方=0,全体,660,三連複4頭BOX,7.42,52.61
両方=0,全体,660,三連複5頭BOX,14.39,54.85
両方=0,2勝クラス×ダ,160,複勝(top1),46.25,80.0
両方=0,2勝クラス×ダ,160,5着以内(top1),61.88,
両方=0,2勝クラス×ダ,160,馬連1-2,6.88,70.88
両方=0,2勝クラス×ダ,160,三連複4頭BOX,7.5,59.95
両方=0,2勝クラス×ダ,160,三連複5頭BOX,12.5,86.24
両方=0,2勝クラス×芝,151,複勝(top1),58.94,74.57
両方=0,2勝クラス×芝,151,5着以内(top1),76.16,
両方=0,2勝クラス×芝,151,馬連1-2,9.27,54.24
両方=0,2勝クラス×芝,151,三連複4頭BOX,11.92,45.02
両方=0,2勝クラス×芝,151,三連複5頭BOX,19.21,34.52
両方=0,3勝クラス×ダ,71,複勝(top1),49.3,90.0
両方=0,3勝クラス×ダ,71,5着以内(top1),67.61,
両方=0,3勝クラス×ダ,71,馬連1-2,11.27,278.45
両方=0,3勝クラス×ダ,71,三連複4頭BOX,7.04,43.38
両方=0,3勝クラス×ダ,71,三連複5頭BOX,11.27,28.3
両方=0,3勝クラス×芝,81,複勝(top1),53.09,75.8
両方=0,3勝クラス×芝,81,5着以内(top1),67.9,
両方=0,3勝クラス×芝,81,馬連1-2,3.7,115.8
両方=0,3勝クラス×芝,81,三連複4頭BOX,4.94,21.7
両方=0,3勝クラス×芝,81,三連複5頭BOX,17.28,85.1
両方=0,OP×ダ,48,複勝(top1),39.58,67.92
両方=0,OP×ダ,48,5着以内(top1),52.08,
両方=0,OP×ダ,48,馬連1-2,10.42,317.5
両方=0,OP×ダ,48,三連複4頭BOX,4.17,80.89
両方=0,OP×ダ,48,三連複5頭BOX,10.42,41.4
両方=0,OP×芝,57,複勝(top1),49.12,89.82
両方=0,OP×芝,57,5着以内(top1),57.89,
両方=0,OP×芝,57,馬連1-2,7.02,336.67
両方=0,OP×芝,57,三連複4頭BOX,8.77,40.18
両方=0,OP×芝,57,三連複5頭BOX,21.05,48.81
両方=0,重賞×ダ,11,複勝(top1),45.45,71.82
両方=0,重賞×ダ,11,5着以内(top1),45.45,
両方=0,重賞×ダ,11,馬連1-2,9.09,27.27
両方=0,重賞×ダ,11,三連複4頭BOX,9.09,19.55
両方=0,重賞×ダ,11,三連複5頭BOX,9.09,7.82
両方=0,重賞×芝,81,複勝(top1),35.8,60.86
両方=0,重賞×芝,81,5着以内(top1),59.26,
両方=0,重賞×芝,81,馬連1-2,0.0,0.0
両方=0,重賞×芝,81,三連複4頭BOX,2.47,87.78
両方=0,重賞×芝,81,三連複5頭BOX,7.41,42.37
