rid,cls,偏差値
202405040502,未勝利,48.17313719707621
202405040503,未勝利,48.19497020736775
202405040507,1勝クラス,43.29535320636439
202405040508,2勝クラス,53.9729575504144
202405040509,OP,60.94924272180994
202405040510,3勝クラス,61.874143781051856
202405040511,重賞,69.48181706827039
202405040512,1勝クラス,52.13299268912474
202405040601,未勝利,45.68535897012862
202405040602,未勝利,41.855030322754
202405040603,未勝利,48.29545703649587
202405040606,1勝クラス,52.26179828815924
202405040607,1勝クラス,41.209644174147535
202405040608,1勝クラス,49.876906707492886
202405040609,2勝クラス,63.254359834609666
202405040610,3勝クラス,64.86867726381297
202405040611,OP,70.1996646930113
202405040612,2勝クラス,57.43499425684964
202405040701,未勝利,51.01671102122187
202405040702,未勝利,44.855925214974306
202405040703,未勝利,45.574033789982686
202405040706,1勝クラス,56.7303318736737
202405040707,1勝クラス,46.4856398372419
202405040708,1勝クラス,52.25144046832418
202405040709,2勝クラス,55.128110562863974
202405040710,3勝クラス,61.05130544251337
202405040711,重賞,62.01166111035661
202405040712,2勝クラス,57.545861336824316
202405040801,未勝利,49.098075543707196
202405040802,未勝利,45.753273017930894
202405040803,未勝利,46.98122716661932
202405040806,1勝クラス,46.492516058825075
202405040807,1勝クラス,41.85809141595
202405040808,2勝クラス,57.941925688244424
202405040809,2勝クラス,57.141504940902266
202405040810,3勝クラス,61.12467996941868
202405040811,重賞,79.16566623940423
202405040812,OP,65.29503339127224
202405050101,未勝利,44.52966903816278
202405050102,未勝利,46.75926718721623
202405050103,未勝利,42.1516628793523
202405050104,未勝利,46.12960458355542
202405050107,1勝クラス,50.94747689658384
202405050109,2勝クラス,60.2586166211473
202405050110,3勝クラス,58.49008727940314
202405050111,重賞,62.381161859040134
202405050112,2勝クラス,56.79208785600368
202405050201,未勝利,43.439954181808034
202405050202,未勝利,49.50654168292155
202405050203,未勝利,47.49441219710663
202405050206,1勝クラス,42.975811122240394
202405050207,1勝クラス,45.022052151372975
202405050208,2勝クラス,53.89577717509397
