馬名,時計スコア(1-5),状態スコア(1-5),メモ
エンブロイダリー,5,4,力強い脚捌き
カピリナ,3,3,攻め十分
ルージュソリテール,4,4,デキ落ちなし
ラヴァンダ,5,4,力強い伸び脚
カムニャック,5,3,久々も好仕上がり
アスコリピチェーノ,5,5,仕上がり良好
クランフォード,4,4,フットワーク軽快
カナテープ,5,5,先週強い稽古消化
エポックヴィーナス,5,4,好調持続
ビップデイジー,4,3,小気味いい走り
