馬名,時計スコア(1-5),状態スコア(1-5),メモ
リリージェーン,4,4,小気味いい走り
フクチャントウメイ,2,4,大型馬も素軽く
エムティエスターテ,5,4,好気配保つ
メッエフアパラ,3,5,脚取り確か
ケープアグラス,3,3,馬体は仕上がるも
ポッドベル,5,3,疲れなく
シホノペルフェット,5,3,多少上向く
レイアポポ,3,3,軽めの調教で十分
レヴィテーション,4,4,仕上がり良好
マジッククッキー,5,4,力強い脚捌き
クインズシフォン,2,1,動きキビキビ
ミスエル,5,4,反応良し
キョウエイカンセ,4,5,好気配保つ
ホウオウプレミア,5,5,活気十分
プチブール,3,3,疲れなく
ライジンマル,4,5,力強い伸び脚
