馬名,時計スコア(1-5),状態スコア(1-5),メモ
フェスティヴドレス,3,4,軽めの調教で十分
シュテルンビルト,3,4,仕上がり良好
ジューンアゲイン,5,4,立て直し良化
ユーヴェリア,2,3,立て直し良化
ルージュバロン,5,3,フットワーク軽快
メイプルギャング,5,3,デキ安定
セルズパワー,5,3,攻め強化
サマーナイト,5,3,元気一杯
コマチチャン,4,4,仕上がり良好
スレッドザニードル,3,4,まずまず仕上がる
マダムイグレイン,4,4,バネ感じさせ
ゴメンネジロー,4,4,ひと叩きで上昇
ゼンカイナダル,5,3,順調に乗る
アンピュルシオン,1,3,攻量の割に仕上る
メイショウサトノヒ,3,4,力強い脚捌き
ニシノジェダイ,4,5,力強い伸び脚
