馬名,時計スコア(1-5),状態スコア(1-5),メモ
コンフォルツァ,,,
ズイウンゴサイ,,,
クロシェットノエル,,,
エボルヴィング,,,
マイネルアレス,,,
ゴーラッキー,,,
ビーオンザカバー,,,
サラスヴァティー,,,
