順位,枠,馬番,馬名,合計スコア,加点内訳,減点内訳
1,8,8,サラスヴァティー,+6.5,+4.0同コース実績 / +1.0叩き2戦目 / +2.0前走好走 / +0.5前々走好走 / +1.0血統距離適性,-2.0昇級初戦
2,6,6,ゴーラッキー,+3.5,+2.0同コース近距離実績 / +1.0前々走好走 / +1.0グレード実績(3-4走前) / +0.5血統距離適性 / +1.0軽量馬加点,-2.0距離延長
3,7,7,ビーオンザカバー,+3.5,+4.0前走3F最速 / +0.5血統距離適性,-1.0距離延長
4,1,1,コンフォルツァ,+2.5,+0.5前々走好走 / +1.0血統距離適性 / +1.0枠番補正,
5,4,4,エボルヴィング,+2.0,+1.0叩き2戦目 / +2.0前走好走 / +0.5血統距離適性 / +0.5枠番補正,-2.0昇級初戦
6,3,3,クロシェットノエル,+1.5,+1.0叩き2戦目 / +3.0内枠先行,-2.0前走ローカル / -0.5枠番補正
7,5,5,マイネルアレス,+1.5,+1.0近走上昇傾向 / +2.0前走好走 / +0.5前々走好走,-2.0距離延長
8,2,2,ズイウンゴサイ,-2.0,+0.5血統距離適性,-2.0前走ローカル / -0.5枠番補正
