順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳
1,8,8,サラスヴァティー,+7.5,6.7,3人気,+4.0同コース実績 / +2.0調教A評価 / +1.0叩き2戦目 / +2.0前走好走 / +0.5前々走好走,-2.0昇級初戦
2,7,7,ビーオンザカバー,+5.0,6.3,2人気,+4.0前走3F最速 / +2.0調教A評価,-1.0距離延長
3,1,1,コンフォルツァ,+4.5,11.8,4人気,+3.0調教A評価 / +0.5前々走好走 / +1.0枠番補正,
4,5,5,マイネルアレス,+3.5,24.2,6人気,+2.0調教A評価 / +1.0近走上昇傾向 / +2.0前走好走 / +0.5前々走好走,-2.0距離延長
5,4,4,エボルヴィング,+2.5,22.5,5人気,+2.0調教A評価 / +1.0叩き2戦目 / +2.0前走好走 / +0.5枠番補正,-2.0昇級初戦 / -1.0回り不適
6,3,3,クロシェットノエル,-1.5,29.6,7人気,+2.0調教A評価 / +1.0叩き2戦目,-3.0前走ローカル / -0.5枠番補正 / -1.0回り不適
7,6,6,ゴーラッキー,-2.0,1.4,1人気,+2.0調教A評価 / +1.0前々走好走,-5.0距離延長
8,2,2,ズイウンゴサイ,-2.5,35.4,8人気,+2.0調教A評価,-3.0前走ローカル / -0.5枠番補正 / -1.0回り不適
