馬名,時計スコア(1-5),状態スコア(1-5),メモ
ミュージシャン,5,3,一息入るも仕上る
ジーティーダーリン,5,4,ひと追い毎に良化
キャントウェイト,5,3,火曜追いで仕上る
クルミナーレ,3,3,立て直し良化
ミカッテヨンデイイ,4,3,成長が見えず
バッデレイト,5,3,フットワーク軽快
エラン,5,3,攻め軽めも順調
ミッキーツインクル,3,3,素軽さ出る
モズマーヴェリック,1,3,連闘のため中間軽め
ハギノアルデバラン,5,3,元気一杯
イケイケドンドン,5,4,活気十分
