馬名,時計スコア(1-5),状態スコア(1-5),メモ
レーベンスティール,4,4,動きハツラツ
ロングラン,5,5,推進力ある走り
オフトレイル,5,5,軽快な動き目立つ
シックスペンス,3,3,好馬体目につく
サクラトゥジュール,5,4,一息入るも仕上る
ステレンボッシュ,5,5,動きキビキビ
スズハローム,5,4,活気十分
シャンパンカラー,3,3,追って伸び上々
ウォーターリヒト,5,4,終いの伸び良
ルクソールカフェ,5,4,仕上がり良好
ワールズエンド,5,5,好気配保つ
シリウスコルト,5,3,活気十分
セイウンハーデス,5,5,一息入るも好気配
ガイアフォース,4,5,仕上がり良好
ドラゴンブースト,5,4,好調持続
パンジャタワー,5,5,折り合いスムーズ
トロヴァトーレ,5,4,チークピーシズ着
