順位,枠,馬番,馬名,合計スコア,単勝オッズ,人気,加点内訳,減点内訳,調教コメント
1,1,1,ミッキーソルジャー,+13.9,2.9,1人気,+3.0同コース実績 / +1.0調教評価 / +1.0叩き2戦目 / +0.4前走好走 / +2.0クラス実績(格×着差) / +0.5血統距離適性 / +1.0内枠先行 / +1.5複勝安定ボーナス / +5.0勝利数ボーナス,-0.5枠番補正 / -1.0季節×性別,仕上上々
2,5,10,ジャサルディア,+13.4,3.3,2人気,+2.0調教評価 / +1.0距離短縮 / +0.2前走好走 / +0.4前々走好走 / +2.0クラス実績(格×着差) / +0.5血統距離適性 / +2.2複勝安定ボーナス / +5.0勝利数ボーナス,,キビキビ
3,4,8,ラージギャラリー,+11.9,33.3,9人気,+3.0調教評価 / +1.0叩き2戦目 / +0.4前走好走 / +2.0クラス実績(格×着差) / +0.5枠番補正 / +5.0勝利数ボーナス,,好調持続
4,8,18,マイエレメント,+10.5,19.3,7人気,+2.0調教評価 / +2.0クラス実績(格×着差) / +0.5血統距離適性 / +1.0軽量馬加点 / +5.0勝利数ボーナス,,好気配
5,8,17,サトノヴィレ,+8.5,49.3,10人気,+1.0調教評価 / +2.5近走上昇傾向 / +1.0距離短縮 / +2.0クラス実績(格×着差) / +2.5勝利数ボーナス,-0.5前走ローカル,元気一杯
6,1,2,コートアリシアン,+7.9,5.1,3人気,+1.5同コース実績 / +2.0調教評価 / +1.0叩き2戦目 / +0.4前々走好走 / +2.0クラス実績(格×着差) / +1.5複勝安定ボーナス,-0.5枠番補正,キビキビ
7,6,12,ケーブパール,+7.8,12.7,4人気,+3.0調教評価 / +2.5近走上昇傾向 / +0.2前走好走 / +2.0クラス実績(格×着差),,好調子
8,4,7,コスモサガルマータ,+7.5,18.7,6人気,+2.0前走3F最速 / +1.0調教評価 / +2.5近走上昇傾向 / +1.0クラス実績(格×着差) / +0.5血統距離適性 / +0.5枠番補正,,仕上良好
9,2,4,マトラコーニッシュ,+7.0,21.6,8人気,+2.0調教評価 / +1.0距離短縮 / +2.0クラス実績(格×着差) / +2.5勝利数ボーナス,-0.5前走ローカル,状態良好
10,5,9,レディーミコノス,+6.5,13.0,5人気,+1.0調教評価 / +1.0距離短縮 / +2.0クラス実績(格×着差) / +2.5勝利数ボーナス,,気配上昇
11,2,3,ジェットマグナム,+4.8,79.5,11人気,+1.0調教評価 / +0.2前走好走 / +2.0クラス実績(格×着差) / +2.5勝利数ボーナス,-1.0季節×性別,仕上るも
12,3,6,ガルダイア,+3.0,105.6,14人気,+1.0調教評価 / +1.0叩き2戦目 / +0.5クラス実績(格×着差) / +0.5血統距離適性,,仕上上々
13,6,11,テウメッサ,+2.5,110.6,15人気,+1.0調教評価 / +1.0距離短縮 / +1.0クラス実績(格×着差),-0.5血統距離適性,気配上々
14,7,13,ショーマンフリート,+2.5,283.4,18人気,+1.0調教評価 / +1.0叩き2戦目 / +1.0距離短縮 / +1.0血統距離適性,-0.5前走ローカル / -1.0季節×性別,出来は良
15,7,15,ホウオウムサシ,+2.2,171.0,17人気,+1.0調教評価 / +1.2近走上昇傾向 / +0.5クラス実績(格×着差) / +0.5血統距離適性,-1.0季節×性別,気配上々
16,3,5,ウィステリアリヴァ,+2.0,90.1,13人気,+2.0調教評価 / +1.0叩き2戦目 / +1.0距離短縮 / +2.0クラス実績(格×着差) / +1.0内枠先行,-5.0初馬場種別 / -1.0季節×性別,伸び上々
17,7,14,グラニット,+1.5,170.7,16人気,+1.0叩き2戦目 / +1.0距離短縮 / +1.0クラス実績(格×着差),-0.5前走ローカル / -1.0季節×性別,平行線
18,8,16,マルチャン,+1.0,85.8,12人気,+1.0調教評価 / +1.0距離短縮,-1.0季節×性別,出来は良

■レース情報,芝1600m,202604030106,良

■買いサイン,⚠ 見送り,18頭フルゲート

■評価コメント
,18頭フルゲートは荒れやすく軸信頼度が低下。
,2位ジャサルディア3.3倍（スコア差0.5pt）。

■三連複1軸-相手,1軸-相手5頭 (10点),"軸:1番ミッキーソルジャー / 相手(予想2〜6位):10,8,18,17,2",10点
,1－2－8
,1－2－10
,1－2－17
,1－2－18
,1－8－10
,1－8－17
,1－8－18
,1－10－17
,1－10－18
,1－17－18

■参考:2軸型(3〜9位相手),軸:1番ミッキーソルジャー×10番ジャサルディア,"相手(3〜9位):8,18,17,2,12,7,4",7点
,1－2－10
,1－4－10
,1－7－10
,1－8－10
,1－10－12
,1－10－17
,1－10－18
